bri,hue,sat,watt
3,1,1,0.6
3,2732,1,1.2
3,5463,1,1.2
3,8194,1,0.9
3,10925,1,1.1
3,13656,1,1.15
3,16387,1,1.2
3,19118,1,1.3
3,21849,1,1.3
3,24580,1,1.05
3,27311,1,1.0
3,30042,1,1.3
3,32773,1,0.9
3,35504,1,0.9
3,38235,1,1.0
3,40966,1,1.05
3,43697,1,1.1
3,46428,1,1.1
3,49159,1,1.2
3,51890,1,1.3
3,54621,1,0.9
3,57352,1,1.1
3,60083,1,1.4
3,62814,1,1.0
3,65535,1,1.25
3,1,33,1.0
3,2732,33,0.9
3,5463,33,1.05
3,8194,33,1.3
3,10925,33,1.2
3,13656,33,0.9
3,16387,33,1.0
3,19118,33,1.3
3,21849,33,1.05
3,24580,33,1.1
3,27311,33,1.1
3,30042,33,1.1
3,32773,33,1.1
3,35504,33,1.2
3,38235,33,1.1
3,40966,33,1.1
3,43697,33,1.1
3,46428,33,1.15
3,49159,33,1.1
3,51890,33,1.2
3,54621,33,1.2
3,57352,33,1.4
3,60083,33,1.15
3,62814,33,1.0
3,65535,33,0.8
3,1,65,1.1
3,2732,65,1.25
3,5463,65,1.1
3,8194,65,1.2
3,10925,65,0.9
3,13656,65,1.05
3,16387,65,1.0
3,19118,65,1.1
3,21849,65,1.05
3,24580,65,1.0
3,27311,65,1.1
3,30042,65,1.1
3,32773,65,0.8
3,35504,65,0.9
3,38235,65,1.1
3,40966,65,1.2
3,43697,65,0.9
3,46428,65,1.0
3,49159,65,0.9
3,51890,65,1.1
3,54621,65,1.1
3,57352,65,1.4
3,60083,65,1.05
3,62814,65,1.05
3,65535,65,1.0
3,1,97,1.15
3,2732,97,1.25
3,5463,97,1.3
3,8194,97,1.1
3,10925,97,1.0
3,13656,97,1.1
3,16387,97,1.1
3,19118,97,1.2
3,21849,97,1.1
3,24580,97,1.0
3,27311,97,1.0
3,30042,97,0.9
3,32773,97,1.0
3,35504,97,0.8
3,38235,97,1.0
3,40966,97,0.95
3,43697,97,1.0
3,46428,97,1.0
3,49159,97,1.05
3,51890,97,1.1
3,54621,97,1.1
3,57352,97,1.2
3,60083,97,1.3
3,62814,97,1.0
3,65535,97,1.0
3,1,129,1.1
3,2732,129,0.9
3,5463,129,1.1
3,8194,129,1.0
3,10925,129,1.05
3,13656,129,0.9
3,16387,129,1.0
3,19118,129,0.95
3,21849,129,1.0
3,24580,129,0.9
3,27311,129,1.1
3,30042,129,0.9
3,32773,129,0.9
3,35504,129,1.3
3,38235,129,1.0
3,40966,129,1.2
3,43697,129,0.95
3,46428,129,0.8
3,49159,129,1.4
3,51890,129,1.0
3,54621,129,0.9
3,57352,129,0.8
3,60083,129,1.0
3,62814,129,1.15
3,65535,129,1.1
3,1,161,1.15
3,2732,161,1.05
3,5463,161,1.0
3,8194,161,1.0
3,10925,161,1.05
3,13656,161,1.0
3,16387,161,1.15
3,19118,161,0.95
3,21849,161,1.0
3,24580,161,1.0
3,27311,161,1.1
3,30042,161,0.95
3,32773,161,0.8
3,35504,161,1.1
3,38235,161,1.0
3,40966,161,1.1
3,43697,161,1.0
3,46428,161,0.7
3,49159,161,0.95
3,51890,161,1.2
3,54621,161,1.0
3,57352,161,1.3
3,60083,161,1.1
3,62814,161,1.0
3,65535,161,1.05
3,1,193,1.0
3,2732,193,1.1
3,5463,193,1.1
3,8194,193,1.0
3,10925,193,1.15
3,13656,193,1.1
3,16387,193,1.0
3,19118,193,0.8
3,21849,193,0.9
3,24580,193,0.8
3,27311,193,0.9
3,30042,193,0.9
3,32773,193,1.0
3,35504,193,1.0
3,38235,193,0.9
3,40966,193,0.95
3,43697,193,0.75
3,46428,193,0.9
3,49159,193,0.7
3,51890,193,1.0
3,54621,193,1.0
3,57352,193,1.0
3,60083,193,1.2
3,62814,193,0.7
3,65535,193,1.3
3,1,225,0.8
3,2732,225,1.0
3,5463,225,0.85
3,8194,225,1.0
3,10925,225,1.2
3,13656,225,0.95
3,16387,225,0.9
3,19118,225,0.85
3,21849,225,0.8
3,24580,225,1.0
3,27311,225,0.9
3,30042,225,0.8
3,32773,225,1.0
3,35504,225,1.1
3,38235,225,0.7
3,40966,225,0.9
3,43697,225,0.9
3,46428,225,0.8
3,49159,225,1.0
3,51890,225,1.4
3,54621,225,0.8
3,57352,225,1.1
3,60083,225,1.2
3,62814,225,1.0
3,65535,225,0.95
3,1,255,1.0
3,2732,255,1.0
3,5463,255,1.1
3,8194,255,1.15
3,10925,255,1.0
3,13656,255,0.8
3,16387,255,1.0
3,19118,255,0.9
3,21849,255,1.0
3,24580,255,1.0
3,27311,255,0.7
3,30042,255,0.85
3,32773,255,0.8
3,35504,255,1.0
3,38235,255,0.9
3,40966,255,0.9
3,43697,255,1.05
3,46428,255,0.85
3,49159,255,1.05
3,51890,255,0.8
3,54621,255,1.1
3,57352,255,1.0
3,60083,255,0.9
3,62814,255,0.9
3,65535,255,0.8
35,1,1,1.9
35,2732,1,1.9
35,5463,1,1.7
35,8194,1,2.2
35,10925,1,1.85
35,13656,1,1.9
35,16387,1,2.0
35,19118,1,2.0
35,21849,1,1.85
35,24580,1,2.05
35,27311,1,1.9
35,30042,1,2.0
35,32773,1,1.95
35,35504,1,1.7
35,38235,1,1.8
35,40966,1,1.9
35,43697,1,1.85
35,46428,1,2.0
35,49159,1,2.0
35,51890,1,1.7
35,54621,1,1.8
35,57352,1,1.9
35,60083,1,1.95
35,62814,1,1.95
35,65535,1,1.9
35,1,33,2.0
35,2732,33,1.95
35,5463,33,1.9
35,8194,33,2.1
35,10925,33,1.95
35,13656,33,1.8
35,16387,33,1.6
35,19118,33,1.7
35,21849,33,1.6
35,24580,33,1.6
35,27311,33,1.8
35,30042,33,1.7
35,32773,33,1.6
35,35504,33,1.8
35,38235,33,1.8
35,40966,33,1.8
35,43697,33,1.7
35,46428,33,1.9
35,49159,33,1.75
35,51890,33,1.8
35,54621,33,1.9
35,57352,33,1.9
35,60083,33,1.8
35,62814,33,2.0
35,65535,33,1.9
35,1,65,1.7
35,2732,65,1.7
35,5463,65,1.6
35,8194,65,1.8
35,10925,65,1.7
35,13656,65,1.75
35,16387,65,1.7
35,19118,65,1.65
35,21849,65,1.4
35,24580,65,1.4
35,27311,65,1.65
35,30042,65,1.7
35,32773,65,1.7
35,35504,65,1.7
35,38235,65,1.7
35,40966,65,1.6
35,43697,65,1.7
35,46428,65,1.6
35,49159,65,1.6
35,51890,65,1.6
35,54621,65,1.9
35,57352,65,1.8
35,60083,65,1.7
35,62814,65,1.65
35,65535,65,1.6
35,1,97,1.6
35,2732,97,1.75
35,5463,97,1.6
35,8194,97,1.8
35,10925,97,1.8
35,13656,97,1.7
35,16387,97,1.8
35,19118,97,1.4
35,21849,97,1.5
35,24580,97,1.6
35,27311,97,1.6
35,30042,97,1.55
35,32773,97,1.6
35,35504,97,1.6
35,38235,97,1.5
35,40966,97,1.5
35,43697,97,1.5
35,46428,97,1.55
35,49159,97,1.3
35,51890,97,1.6
35,54621,97,1.75
35,57352,97,1.8
35,60083,97,1.9
35,62814,97,1.8
35,65535,97,1.7
35,1,129,1.6
35,2732,129,1.7
35,5463,129,1.8
35,8194,129,1.4
35,10925,129,1.7
35,13656,129,1.6
35,16387,129,1.4
35,19118,129,1.4
35,21849,129,1.5
35,24580,129,1.4
35,27311,129,1.3
35,30042,129,1.4
35,32773,129,1.5
35,35504,129,1.4
35,38235,129,1.6
35,40966,129,1.45
35,43697,129,1.3
35,46428,129,1.4
35,49159,129,1.45
35,51890,129,1.65
35,54621,129,1.6
35,57352,129,1.7
35,60083,129,1.6
35,62814,129,1.6
35,65535,129,1.7
35,1,161,1.7
35,2732,161,1.6
35,5463,161,1.55
35,8194,161,1.4
35,10925,161,1.8
35,13656,161,1.75
35,16387,161,1.5
35,19118,161,1.2
35,21849,161,1.3
35,24580,161,1.4
35,27311,161,1.4
35,30042,161,1.3
