bri,hue,sat,watt
1,1,1,0.59
1,2732,1,0.54
1,5463,1,0.47
1,8194,1,0.55
1,10925,1,0.53
1,13656,1,0.51
1,16387,1,0.55
1,19118,1,0.51
1,21849,1,0.49
1,24580,1,0.5
1,27311,1,0.52
1,30042,1,0.52
1,32773,1,0.54
1,35504,1,0.56
1,38235,1,0.54
1,40966,1,0.56
1,43697,1,0.59
1,46428,1,0.51
1,49159,1,0.55
1,51890,1,0.52
1,54621,1,0.53
1,57352,1,0.55
1,60083,1,0.53
1,62814,1,0.53
1,65535,1,0.49
1,1,33,0.58
1,2732,33,0.53
1,5463,33,0.55
1,8194,33,0.54
1,10925,33,0.52
1,13656,33,0.58
1,16387,33,0.57
1,19118,33,0.52
1,21849,33,0.5
1,24580,33,0.46
1,27311,33,0.49
1,30042,33,0.52
1,32773,33,0.53
1,35504,33,0.46
1,38235,33,0.54
1,40966,33,0.56
1,43697,33,0.56
1,46428,33,0.52
1,49159,33,0.53
1,51890,33,0.54
1,54621,33,0.57
1,57352,33,0.56
1,60083,33,0.58
1,62814,33,0.51
1,65535,33,0.52
1,1,65,0.49
1,2732,65,0.53
1,5463,65,0.56
1,8194,65,0.45
1,10925,65,0.49
1,13656,65,0.53
1,16387,65,0.58
1,19118,65,0.53
1,21849,65,0.57
1,24580,65,0.55
1,27311,65,0.55
1,30042,65,0.51
1,32773,65,0.54
1,35504,65,0.55
1,38235,65,0.53
1,40966,65,0.48
1,43697,65,0.53
1,46428,65,0.54
1,49159,65,0.5
1,51890,65,0.53
1,54621,65,0.51
1,57352,65,0.46
1,60083,65,0.54
1,62814,65,0.52
1,65535,65,0.52
1,1,97,0.57
1,2732,97,0.55
1,5463,97,0.55
1,8194,97,0.54
1,10925,97,0.57
1,13656,97,0.51
1,16387,97,0.52
1,19118,97,0.54
1,21849,97,0.51
1,24580,97,0.56
1,27311,97,0.54
1,30042,97,0.57
1,32773,97,0.56
1,35504,97,0.54
1,38235,97,0.45
1,40966,97,0.65
1,43697,97,0.51
1,46428,97,0.51
1,49159,97,0.54
1,51890,97,0.58
1,54621,97,0.47
1,57352,97,0.52
1,60083,97,0.52
1,62814,97,0.46
1,65535,97,0.54
1,1,129,0.54
1,2732,129,0.49
1,5463,129,0.5
1,8194,129,0.55
1,10925,129,0.57
1,13656,129,0.54
1,16387,129,0.53
1,19118,129,0.54
1,21849,129,0.53
1,24580,129,0.51
1,27311,129,0.53
1,30042,129,0.59
1,32773,129,0.59
1,35504,129,0.48
1,38235,129,0.53
1,40966,129,0.51
1,43697,129,0.54
1,46428,129,0.57
1,49159,129,0.58
1,51890,129,0.53
1,54621,129,0.49
1,57352,129,0.52
1,60083,129,0.52
1,62814,129,0.49
1,65535,129,0.5
1,1,161,0.56
1,2732,161,0.51
1,5463,161,0.5
1,8194,161,0.5
1,10925,161,0.56
1,13656,161,0.55
1,16387,161,0.53
1,19118,161,0.48
1,21849,161,0.58
1,24580,161,0.5
1,27311,161,0.54
1,30042,161,0.54
1,32773,161,0.55
1,35504,161,0.52
1,38235,161,0.48
1,40966,161,0.49
1,43697,161,0.51
1,46428,161,0.49
1,49159,161,0.44
1,51890,161,0.52
1,54621,161,0.52
1,57352,161,0.53
1,60083,161,0.53
1,62814,161,0.53
1,65535,161,0.55
1,1,193,0.45
1,2732,193,0.52
1,5463,193,0.57
1,8194,193,0.5
1,10925,193,0.54
1,13656,193,0.51
1,16387,193,0.57
1,19118,193,0.43
1,21849,193,0.54
1,24580,193,0.59
1,27311,193,0.55
1,30042,193,0.57
1,32773,193,0.53
1,35504,193,0.57
1,38235,193,0.53
1,40966,193,0.6
1,43697,193,0.55
1,46428,193,0.59
1,49159,193,0.52
1,51890,193,0.53
1,54621,193,0.56
1,57352,193,0.49
1,60083,193,0.59
1,62814,193,0.55
1,65535,193,0.57
1,1,225,0.51
1,2732,225,0.51
1,5463,225,0.55
1,8194,225,0.57
1,10925,225,0.51
1,13656,225,0.51
1,16387,225,0.54
1,19118,225,0.54
1,21849,225,0.56
1,24580,225,0.56
1,27311,225,0.56
1,30042,225,0.53
1,32773,225,0.53
1,35504,225,0.58
1,38235,225,0.56
1,40966,225,0.49
1,43697,225,0.5
1,46428,225,0.57
1,49159,225,0.52
1,51890,225,0.55
1,54621,225,0.48
1,57352,225,0.58
1,60083,225,0.53
1,62814,225,0.53
1,65535,225,0.5
1,1,255,0.6
1,2732,255,0.5
1,5463,255,0.53
1,8194,255,0.54
1,10925,255,0.55
1,13656,255,0.53
1,16387,255,0.52
1,19118,255,0.56
