bri,hue,sat,watt
1,1,1,0.3
1,2732,1,0.4
1,5463,1,0.3
1,8194,1,0.35
1,10925,1,0.3
1,13656,1,0.35
1,16387,1,0.35
1,19118,1,0.3
1,21849,1,0.3
1,24580,1,0.35
1,27311,1,0.4
1,30042,1,0.4
1,32773,1,0.3
1,35504,1,0.3
1,38235,1,0.4
1,40966,1,0.4
1,43697,1,0.3
1,46428,1,0.4
1,49159,1,0.35
1,51890,1,0.4
1,54621,1,0.35
1,57352,1,0.3
1,60083,1,0.4
1,62814,1,0.35
1,65535,1,0.4
1,1,33,0.4
1,2732,33,0.35
1,5463,33,0.3
1,8194,33,0.4
1,10925,33,0.4
1,13656,33,0.45
1,16387,33,0.35
1,19118,33,0.4
1,21849,33,0.35
1,24580,33,0.35
1,27311,33,0.4
1,30042,33,0.35
1,32773,33,0.4
1,35504,33,0.4
1,38235,33,0.4
1,40966,33,0.35
1,43697,33,0.3
1,46428,33,0.4
1,49159,33,0.4
1,51890,33,0.4
1,54621,33,0.35
1,57352,33,0.35
1,60083,33,0.35
1,62814,33,0.4
1,65535,33,0.4
1,1,65,0.35
1,2732,65,0.4
1,5463,65,0.35
1,8194,65,0.35
1,10925,65,0.35
1,13656,65,0.35
1,16387,65,0.4
1,19118,65,0.4
1,21849,65,0.35
1,24580,65,0.3
1,27311,65,0.4
1,30042,65,0.35
1,32773,65,0.35
1,35504,65,0.35
1,38235,65,0.35
1,40966,65,0.35
1,43697,65,0.35
1,46428,65,0.4
1,49159,65,0.35
1,51890,65,0.4
1,54621,65,0.4
1,57352,65,0.35
1,60083,65,0.4
1,62814,65,0.4
1,65535,65,0.4
1,1,97,0.35
1,2732,97,0.3
1,5463,97,0.4
1,8194,97,0.35
1,10925,97,0.35
1,13656,97,0.35
1,16387,97,0.3
1,19118,97,0.35
1,21849,97,0.4
1,24580,97,0.4
1,27311,97,0.4
1,30042,97,0.4
1,32773,97,0.4
1,35504,97,0.35
1,38235,97,0.4
1,40966,97,0.35
1,43697,97,0.45
1,46428,97,0.35
1,49159,97,0.35
1,51890,97,0.4
1,54621,97,0.4
1,57352,97,0.35
1,60083,97,0.4
1,62814,97,0.4
1,65535,97,0.35
1,1,129,0.4
1,2732,129,0.3
1,5463,129,0.35
1,8194,129,0.4
1,10925,129,0.4
1,13656,129,0.4
1,16387,129,0.4
1,19118,129,0.4
1,21849,129,0.35
1,24580,129,0.4
1,27311,129,0.4
1,30042,129,0.35
1,32773,129,0.4
1,35504,129,0.35
1,38235,129,0.4
1,40966,129,0.35
1,43697,129,0.4
1,46428,129,0.35
1,49159,129,0.4
1,51890,129,0.4
1,54621,129,0.4
1,57352,129,0.45
1,60083,129,0.4
1,62814,129,0.35
1,65535,129,0.4
1,1,161,0.4
1,2732,161,0.35
1,5463,161,0.35
1,8194,161,0.45
1,10925,161,0.35
1,13656,161,0.4
1,16387,161,0.4
1,19118,161,0.35
1,21849,161,0.35
1,24580,161,0.4
1,27311,161,0.45
1,30042,161,0.45
1,32773,161,0.35
1,35504,161,0.4
1,38235,161,0.45
1,40966,161,0.4
1,43697,161,0.4
1,46428,161,0.45
1,49159,161,0.4
1,51890,161,0.4
1,54621,161,0.4
1,57352,161,0.4
1,60083,161,0.4
1,62814,161,0.4
1,65535,161,0.4
1,1,193,0.4
1,2732,193,0.35
1,5463,193,0.4
1,8194,193,0.35
1,10925,193,0.4
1,13656,193,0.4
1,16387,193,0.45
1,19118,193,0.4
1,21849,193,0.4
1,24580,193,0.45
1,27311,193,0.4
1,30042,193,0.4
1,32773,193,0.4
1,35504,193,0.45
1,38235,193,0.35
1,40966,193,0.4
1,43697,193,0.4
1,46428,193,0.35
1,49159,193,0.4
1,51890,193,0.35
1,54621,193,0.4
1,57352,193,0.4
1,60083,193,0.45
1,62814,193,0.4
1,65535,193,0.4
1,1,225,0.4
1,2732,225,0.45
1,5463,225,0.4
1,8194,225,0.35
1,10925,225,0.4
1,13656,225,0.4
1,16387,225,0.35
1,19118,225,0.3
1,21849,225,0.4
1,24580,225,0.35
1,27311,225,0.4
1,30042,225,0.4
1,32773,225,0.4
1,35504,225,0.45
1,38235,225,0.4
1,40966,225,0.35
1,43697,225,0.45
1,46428,225,0.4
1,49159,225,0.4
1,51890,225,0.45
1,54621,225,0.4
1,57352,225,0.4
1,60083,225,0.4
1,62814,225,0.4
1,65535,225,0.4
1,1,255,0.35
1,2732,255,0.35
1,5463,255,0.4
1,8194,255,0.35
1,10925,255,0.35
1,13656,255,0.4
1,16387,255,0.35
1,19118,255,0.35
1,21849,255,0.4
1,24580,255,0.35
1,27311,255,0.35
1,30042,255,0.4
1,32773,255,0.4
1,35504,255,0.35
1,38235,255,0.4
1,40966,255,0.35
1,43697,255,0.4
1,46428,255,0.35
1,49159,255,0.4
1,51890,255,0.4
1,54621,255,0.4
1,57352,255,0.45
1,60083,255,0.4
1,62814,255,0.35
1,65535,255,0.35
33,1,1,1.6
